,createdate,username,followers,text
146,2023-06-22 18:00:59+00:00,tracie_keeling,1,"JUST DON'T DO IT! IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
147,2023-06-22 17:55:25+00:00,robkelly1977,163,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
148,2023-06-22 17:51:53+00:00,Nikita07Clark,349,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
149,2023-06-22 17:45:31+00:00,buffalo2705,43,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
150,2023-06-22 17:43:30+00:00,Martin35336784,1,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
151,2023-06-22 17:18:44+00:00,Janthomas1311,1,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
152,2023-06-22 16:58:26+00:00,Beautifaal,12,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
153,2023-06-22 16:57:20+00:00,Elodie5055,0,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
154,2023-06-22 16:31:40+00:00,LaurenFowler26,0,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
155,2023-06-22 16:10:15+00:00,Jessamybride,517,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
156,2023-06-22 16:09:25+00:00,surferuk,26,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint https://t.co/cFORqlDReR"
157,2023-06-22 16:01:28+00:00,gpwatts,5,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
158,2023-06-22 15:46:35+00:00,Loiss813,58,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
159,2023-06-22 15:39:24+00:00,mcgowanm616,118,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
